loc,alpha,k,clip_factor,jump_penalty,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.0008,0.8,2.0,20,30,7,kmeans,0.5009033220180023,0.006934276344977322,0.003259866233943524,0.0015962078834771396,0.489654411845659,15.79656439366007,0.4,
0.001,0.8,2.75,12,3,4,jump,0.512345610083089,0.004810436001359476,0.0030893271959670124,0.001989595065658597,0.6440221250296603,8.48294267667971,35.8,
0.001,0.8,2.75,12,3,4,kmeans,0.5147129564958423,0.004810436001359476,0.0030893271959670124,0.001989595065658597,0.6440221250296603,8.48294267667971,0.4,
0.0018,0.8,2.0,8,3,8,jump,0.7979407732108306,0.005340607638812819,0.003885515995851527,0.0035968575897859373,0.9257091191044423,3.3229274067391623,36.8,
0.0018,0.8,2.0,8,3,8,kmeans,0.7889026213541912,0.005340607638812819,0.003885515995851527,0.0035968575897859373,0.9257091191044423,3.3229274067391623,0.4,
0.0018,0.8,4.0,8,0.03,2,jump,0.8349893049137456,0.004012764881563821,0.0034783727624390546,0.0035797753772130124,1.0291523139408594,2.9668445104471797,36.3,
0.0018,0.8,4.0,8,0.03,2,kmeans,0.8345935261709931,0.004012764881563821,0.0034783727624390546,0.0035797753772130124,1.0291523139408594,2.9668445104471797,0.3,
0.0018,0.8,4.0,12,30,4,jump,0.8391578744175738,0.004104027328798887,0.003491393422269553,0.003602777743193845,1.0319025407488704,4.8770359435608075,36.4,
0.0018,0.8,4.0,12,30,4,kmeans,0.8265073757795516,0.004104027328798887,0.003491393422269553,0.003602777743193845,1.0319025407488704,4.8770359435608075,0.3,
0.002,1.4,6.0,8,30,7,jump,0.8540208226256851,0.004601459393319811,0.004490534715679745,0.004004803856498134,0.891832289485355,0.41536202594107463,36.2,
0.002,1.4,6.0,8,30,7,kmeans,0.8326323752835307,0.004601459393319811,0.004490534715679745,0.004004803856498134,0.891832289485355,0.41536202594107463,0.2,
0.0014,0.8,2.0,20,30,9,jump,0.5134251045162022,0.007024992037948641,0.003635021630716486,0.002783758116573465,0.7658161076815294,14.688546775994762,36.1,
0.0014,0.8,2.0,20,30,9,kmeans,0.5117010879642665,0.007024992037948641,0.003635021630716486,0.002783758116573465,0.7658161076815294,14.688546775994762,0.3,
0.0008,1.6,4.0,12,0.3,7,jump,0.6761964672567846,0.004424928774744231,0.004156147730680355,0.0015793292848988475,0.379998351175143,1.1504930698721507,36.2,
0.0008,1.6,4.0,12,0.3,7,kmeans,0.6733963217795373,0.004424928774744231,0.004156147730680355,0.0015793292848988475,0.379998351175143,1.1504930698721507,0.6,
0.0005,1.6,6.0,8,0.3,7,jump,0.5066027787805227,0.004244918368300988,0.004087805689798173,0.0009863291498592068,0.24128572263617176,0.4391309703146251,37.6,
0.0005,1.6,6.0,8,0.3,7,kmeans,0.5055521030940504,0.004244918368300988,0.004087805689798173,0.0009863291498592068,0.24128572263617176,0.4391309703146251,0.4,
0.0016,1.1,6.0,12,30,4,jump,0.8145725162484158,0.0041560749375247315,0.003883371273157704,0.0031965456257321036,0.8231367543523289,1.3042679171730924,36.7,
0.0016,1.1,6.0,12,30,4,kmeans,0.800715611090479,0.0041560749375247315,0.003883371273157704,0.0031965456257321036,0.8231367543523289,1.3042679171730924,0.3,
0.0012,1.1,4.0,8,3,6,jump,0.7526781096953732,0.004343132277432165,0.00376985346801468,0.0023891222175860456,0.6337440534112405,1.927492970893101,36.9,
0.0012,1.1,4.0,8,3,6,kmeans,0.7422540027239516,0.004343132277432165,0.00376985346801468,0.0023891222175860456,0.6337440534112405,1.927492970893101,0.6,
0.001,0.8,6.0,8,0.03,6,jump,0.7729060582321452,0.003212506881739603,0.0027516434488785322,0.0019774714465222707,0.7186510473688786,2.653276665743771,36.9,
0.001,0.8,6.0,8,0.03,6,kmeans,0.7720169018122982,0.003212506881739603,0.0027516434488785322,0.0019774714465222707,0.7186510473688786,2.653276665743771,0.6,
0.0016,1.4,4.0,12,30,4,jump,0.8166156327791808,0.004671832091372318,0.004341649805916861,0.003201011716478362,0.7372800339898391,1.4019551049390042,36.7,
0.0016,1.4,4.0,12,30,4,kmeans,0.7897543917619915,0.004671832091372318,0.004341649805916861,0.003201011716478362,0.7372800339898391,1.4019551049390042,0.3,
0.001,1.4,2.75,8,100,9,jump,0.7108820220125488,0.00473933225797743,0.0041514944810061745,0.0019882610180722697,0.47892657142359635,1.7830682267642866,36.5,
0.001,1.4,2.75,8,100,9,kmeans,0.6909353033932542,0.00473933225797743,0.0041514944810061745,0.0019882610180722697,0.47892657142359635,1.7830682267642866,0.5,
0.0018,1.6,4.0,20,3,2,jump,0.8087108144218906,0.004698684952008798,0.004539179174983638,0.0035639632712530255,0.7851558913767427,0.7954721557679676,37.1,
0.0018,1.6,4.0,20,3,2,kmeans,0.7989932097600037,0.004698684952008798,0.004539179174983638,0.0035639632712530255,0.7851558913767427,0.7954721557679676,0.4,
0.0012,1.6,2.75,20,3,4,jump,0.7286971642072464,0.004761292717288032,0.00434495087288012,0.0023375266343583752,0.537986896226725,2.64091715175657,37.3,
0.0012,1.6,2.75,20,3,4,kmeans,0.712624051149315,0.004761292717288032,0.00434495087288012,0.0023375266343583752,0.537986896226725,2.64091715175657,0.6,
0.0016,0.8,2.75,12,0.3,7,jump,0.7941465043799709,0.0049501361417410685,0.0035367259779897813,0.003212581787168106,0.9083490796745542,7.422631741785512,37.6,
0.0016,0.8,2.75,12,0.3,7,kmeans,0.7928459230430251,0.0049501361417410685,0.0035367259779897813,0.003212581787168106,0.9083490796745542,7.422631741785512,0.4,
0.0016,0.8,2.0,12,0.03,3,jump,0.5011258286289783,0.00606618226488028,0.0037773545982246687,0.003183587527173572,0.8428087552780554,6.731047894602625,37.7,
0.0016,0.8,2.0,12,0.03,3,kmeans,0.5034026218021358,0.00606618226488028,0.0037773545982246687,0.003183587527173572,0.8428087552780554,6.731047894602625,0.4,
0.002,1.4,2.0,20,0.03,9,jump,0.7934805591279124,0.005832762267064235,0.004724681382983677,0.003988337634627489,0.8441495439230696,8.594389660140662,37.1,
0.002,1.4,2.0,20,0.03,9,kmeans,0.7937509422837472,0.005832762267064235,0.004724681382983677,0.003988337634627489,0.8441495439230696,8.594389660140662,0.4,
0.0018,1.1,2.75,8,0.03,8,jump,0.8062027876087889,0.004979919175189621,0.004228475400122639,0.003594075235613925,0.8499695269622913,2.1502027106023336,37.7,
0.0018,1.1,2.75,8,0.03,8,kmeans,0.8063479840041263,0.004979919175189621,0.004228475400122639,0.003594075235613925,0.8499695269622913,2.1502027106023336,0.5,
0.0014,1.1,4.0,20,0.03,6,jump,0.7687267670483783,0.004533541177974753,0.0038710657394962593,0.0027889569447631262,0.7204623048137778,4.44654867976672,38.0,
0.0014,1.1,4.0,20,0.03,6,kmeans,0.7684190744452892,0.004533541177974753,0.0038710657394962593,0.0027889569447631262,0.7204623048137778,4.44654867976672,0.6,
0.0016,1.1,6.0,20,30,5,jump,0.8292404960747057,0.004176479504219711,0.003905668789489207,0.003220801965178659,0.8246480023719276,1.6098616518478686,36.9,
