loc,alpha,k,clip_factor,rep,model,bac,sd,mad,d_med,cdist_mad,kurt,secs,error
0.002,0.8,2.0,12,3,kmeans,0.7891747043846129,0.0061820811430563435,0.004127722285822116,0.0039835875271735715,0.9650812848665672,6.208324969299719,0.4,
0.0008,1.6,2.0,12,5,vae,0.5625638392637007,0.004892619957540666,0.004275740333799732,0.0016016852893582859,0.37459835357562804,3.209990963997969,1009.4,
0.0008,1.6,2.0,12,5,jump,0.5128125202124314,0.004892619957540666,0.004275740333799732,0.0016016852893582859,0.37459835357562804,3.209990963997969,35.4,
0.0008,1.6,2.0,12,5,kmeans,0.652250840356853,0.004892619957540666,0.004275740333799732,0.0016016852893582859,0.37459835357562804,3.209990963997969,0.7,
0.0012,1.1,2.0,8,5,vae,0.6619568899656045,0.005260257876814463,0.004019970482561185,0.0023918965657927,0.5950035146200342,2.7808600375251507,1012.5,
0.0012,1.1,2.0,8,5,jump,0.7118486553970154,0.005260257876814463,0.004019970482561185,0.0023918965657927,0.5950035146200342,2.7808600375251507,35.0,
0.0012,1.1,2.0,8,5,kmeans,0.5030643246822526,0.005260257876814463,0.004019970482561185,0.0023918965657927,0.5950035146200342,2.7808600375251507,0.6,
0.0008,1.1,6.0,20,1,vae,0.6446584810687099,0.003918619897300081,0.0035247678739371686,0.0015416028762303686,0.4373629502326339,1.6695653075914842,1004.9,
0.0008,1.1,6.0,20,1,jump,0.6731339441901016,0.003918619897300081,0.0035247678739371686,0.0015416028762303686,0.4373629502326339,1.6695653075914842,34.8,
0.0008,1.1,6.0,20,1,kmeans,0.6746825471697311,0.003918619897300081,0.0035247678739371686,0.0015416028762303686,0.4373629502326339,1.6695653075914842,1.1,
0.0011,0.8,2.75,20,0,vae,0.5991720965187145,0.005225026428013703,0.003162813649792712,0.002210738361271609,0.6989783800308623,16.92330689852534,1011.5,
0.0011,0.8,2.75,20,0,jump,0.5037014854371314,0.005225026428013703,0.003162813649792712,0.002210738361271609,0.6989783800308623,16.92330689852534,35.6,
0.0011,0.8,2.75,20,0,kmeans,0.5047742188321505,0.005225026428013703,0.003162813649792712,0.002210738361271609,0.6989783800308623,16.92330689852534,0.5,
0.0011,0.8,2.75,8,2,vae,0.6614765170162609,0.004432137319218076,0.0031354247500017993,0.0022085337230089643,0.7043810325882313,4.177636271899198,903.5,
