loc,alpha,k,rep,sd,mad,d_mean,d_med,cdist,cdist_mad,kurt
0.0005,1.4,2.0,0,0.005188103990953079,0.004094796692908901,0.0009770466274106391,0.0009527739071004918,0.23267917275366634,0.23267917275366634,4.726723905012721
0.0005,1.4,2.0,1,0.005224690912184131,0.004109861788342708,0.0009324087399712104,0.0009345265924162602,0.22738637952910476,0.22738637952910476,4.639445463495549
0.0005,1.4,2.0,3,0.005198465846628101,0.004108773456341621,0.0010263687626611351,0.001040553255956648,0.2532515523216844,0.2532515523216844,4.7308045277032145
0.0005,1.4,2.0,2,0.005175983480068616,0.0040917424734376795,0.0009973925282180365,0.0010028515162289612,0.24509155274046732,0.24509155274046732,4.714502371503376
0.0005,1.4,2.0,5,0.005184530282990839,0.004104483507386849,0.0010549153654553138,0.0010296645676992082,0.25086337071305526,0.25086337071305526,4.7192175750863825
0.0005,1.4,2.0,6,0.005166996602726372,0.004127814484523711,0.0009779495990235045,0.0009912970815003515,0.2401505894261943,0.2401505894261943,4.555957728557202
0.0005,1.4,2.0,7,0.0051543623348428965,0.004078836424764914,0.0009894729543138189,0.0009512044639088993,0.2332048566923648,0.2332048566923648,4.614828751891927
0.0005,1.4,2.0,4,0.005158840948193807,0.004092273903055345,0.0009848320262761882,0.0009785154992821602,0.23911290457649664,0.23911290457649664,4.761771633723149
0.0005,1.4,2.75,0,0.004762978918168454,0.0040577176801601745,0.0010020955478825515,0.0010040646890263393,0.24744567467954173,0.24744567467954173,3.1313510648576486
0.0005,1.4,2.0,9,0.00520259771397313,0.004112163815057901,0.000987696239903981,0.0009803807626932576,0.23840994833506007,0.23840994833506007,4.799525894522853
0.0005,1.4,2.0,8,0.005209174159979761,0.004109173707396838,0.0010048261947973262,0.0009908349299959942,0.2411275357409235,0.2411275357409235,4.741283231734682
0.0005,1.4,2.75,1,0.004767077756105081,0.004045163514457571,0.0009612275168531013,0.0009795182130753412,0.24214551762234213,0.24214551762234213,3.817415951338134
0.0005,1.4,2.75,2,0.004726208633208361,0.004040930854061367,0.0009445957629100662,0.0009537038677710993,0.23601093466189166,0.23601093466189166,3.4277857722232374
0.0005,1.4,2.75,3,0.004736777286652801,0.004035939092946988,0.0009844679087875864,0.000968729190941753,0.24002572106072095,0.24002572106072095,3.2136511153188367
0.0005,1.4,2.75,5,0.004773453706787506,0.00403791308318003,0.0009375896553530411,0.000949306766662047,0.23509836569201908,0.23509836569201908,3.4570837098462572
0.0005,1.4,2.75,4,0.0047534207242570705,0.004041877082491193,0.0010367031662724881,0.0010306928839232414,0.2550035201189192,0.2550035201189192,3.110833634589479
0.0005,1.4,2.75,6,0.004773801241109458,0.004068234644995256,0.0009964043275062782,0.0010260760739630908,0.252216541940463,0.252216541940463,3.6172500239423293
0.0005,1.4,2.75,7,0.004733550128940749,0.004005507903170955,0.0009821127972704999,0.0009589420201890389,0.2394058489885624,0.2394058489885624,3.4446674418008545
0.0005,1.4,2.75,8,0.004756975545518075,0.0040598231828569,0.0010285663448563786,0.0009989571547737324,0.2460592764216804,0.2460592764216804,3.330654197073028
0.0005,1.4,2.75,9,0.004782774051389735,0.004037922480090086,0.0010319400450950716,0.00099840860621754,0.24725799248014924,0.24725799248014924,3.5493586625695963
0.0005,1.4,4.0,0,0.004423399559551176,0.003998577528552899,0.0009641139277847288,0.0009265567666537774,0.2317215960019417,0.2317215960019417,1.9245585103227807
0.0005,1.4,4.0,1,0.004376136522633738,0.003974420706450572,0.0009703120167989818,0.0009847059468777585,0.24776087374936406,0.24776087374936406,1.8360484539454323
0.0005,1.4,4.0,2,0.004371585070455157,0.003956550476937382,0.0009559075650872822,0.0009704607708681471,0.24527951217226596,0.24527951217226596,1.7166816857719462
0.0005,1.4,4.0,5,0.00440224586154709,0.003986626254343095,0.001010610827015944,0.0010115336762339545,0.2537317550477608,0.2537317550477608,1.9146701325901132
0.0005,1.4,4.0,4,0.0044015568490856916,0.003989141517465115,0.0010318037672857026,0.001005241207755697,0.2519943710581804,0.2519943710581804,1.8252389520814205
0.0005,1.4,4.0,3,0.004407456909980113,0.004002526480322923,0.0009694962586869171,0.000968315788888371,0.24192614181287003,0.24192614181287003,1.8767638132538265
0.0005,1.4,4.0,6,0.004403041352024289,0.003992768136271375,0.0010144469117994875,0.0010172034153814217,0.2547614538747876,0.2547614538747876,1.8526792117940412
0.0005,1.4,4.0,7,0.004410643902731757,0.003977273891275771,0.0009945061071576459,0.0009752924287620331,0.2452163103228461,0.2452163103228461,2.050368415045189
